Osoba	Den	Body	Popisek
Nečas	2014-06-06	10,0	Expremiér vystoupil na konferenci o regulaci médií a o právu veřejných osob na soukromí. „Nevěřím, že média jsou hlídacím psem demokracie a zárukou svobody projevu,“ řek mimo jiné.
Nečas	2014-06-12	10,0	Petr Nečas se zcela stáhl z veřejného života. Vyučuje a věnuje se poradenství.
Rittig	2013-06-13	17,0	Policisté dělají u Rittiga domovní prohlídku, odvážejí auta plná dokumentů. Lobbista je v Monaku, kriminalisté jej z ničeho neobvinili.
Rittig	2013-06-14	16,0	Státní zástupce Ivo Ištvan uvedl na tiskové konferenci, že hlavním cílem vyšetřování bylo rozkrýt síť lobbistů – včetně Ivo Rittiga.
Rittig	2013-06-27	15,0	Protikorupční policie přijela do sídla Rittigových právníků, do firmy MSB Legal, dříve Šachta & Partners. Podle České televize se zásah týkal nevýhodného pronájmu skladů v Nemocnici Na Homolce.
Rittig	2013-07-20	15,5	Ivo Rittiga zastupuje jako advokát bývalý vrchní státní zástupce v Praze Vlastimil Rampula. Informaci přinesl deník Právo. Do kauzy je přitom zapleten bývalý Rampulův náměstek Libor Grygárek, který je podezřelý, že lobbistům pomáhal a kryl je.
Rittig	2013-09-18	15,0	Rittig přijel z Monaka do Prahy k výslechu.
Rittig	2014-02-13	10,0	Kriminalisté jej zadrželi a obvinili spolu s dalšími čtyřmi lidmi z praní špinavých peněz. Jde o tisk jízdenek pro pražský dopravní podnik.
Rittig	2014-02-14	12,0	Rittig opouští ředitelství pražské policie, soud mu zakázal vycestovat z Česka.
Rittig	2014-02-24	10,0	Ministr zemědělství Martin Jurečka odvolal ředitele Státního pozemkového úřadu Petra Šťovíčka. Televize Nova krátce před tím zveřejnila fotografie z oslav Rittigových padesátin - Šťovíček tam přinesl jako dárek obraz znázorňující lobbistu jako boha Zea.
Rittig	2014-03-08	8,0	Jak informovaly lidovky.cz, kriminalisté začali obstavovat majetek Rittigových spolupracovníků
Rittig	2014-03-17	8,5	Soud přikázal Lubomíru Zaorálkovi (ČSSD), aby poslal Ivo Rittigovi omluvný dopis. Kvůli prohlášení, že se u lobbisty našlo při domovních prohlídkách zlato, což nebyla pravda. Rittig ale vyhrál jen z jedné čtvrtiny: Nedostal stotisícové odškodnění a musel platit náklady soudu.
Rittig	2014-03-20	10,0	Soud lobbistovi vrátil pas
Rittig	2014-03-21	8,0	Druhé zatčení, policie si pro Rittiga přišla brzy ráno.
Rittig	2014-03-21	10,0	Ještě tentýž den jej pustil soud na svobodu.
Rittig	2014-04-02	12,0	Zveřejnil na Twitteru fotografii z Monaka. Vzkázal, že se do Česka bude často vracet.
Rittig	2014-06-12	11,0	Podle MF DNES se schyluje k obžalobě Ivo Rittiga kvůli podezření, že se prostřednictvím Jany Nagyové dostal k tajným dokumentům BIS.
Kovanda	2013-06-12	11,0	Policie jej zadržela a obvinila ze zneužívání pravomocí. Ředitelka premiérova kabinetu Jana Nagyová si podle vyšetřovatelů objednala u lidí z Vojenského zpravodajství sledování tří osob – dvou zaměstnanců úřadu vlády a tehdejší manželky premiéra Radky Nečasové. Kromě Kovandy byl obviněn také bývalý šéf VZ Ondřej Páleník a jejich podřízený Jan Pohůnek.
Kovanda	2013-06-15	9,0	Trojici mužů z Vojenského zpravodajství poslal soud do vazby.
Kovanda	2013-06-16	10,0	Milan Kovanda je stíhaný na svobodě, protože se doznal a spolupracuje s policií. „Generál Kovanda se u výslechů zachoval jako voják,“ pochválil jej olomoucký žalobce Ivo Ištvan.
Kovanda	2013-06-17	8,5	Ministr obrany Vlastimil Picek jej postavil mimo službu. Stejně jako Jana Pohůnka. Kovanda zůstal ve funkci řadového zaměstnance.
Kovanda	2013-10-11	9,0	V rozhovoru pro agenturu ČTK Kovanda uvedl, že sledování premiérovy manželky vnímal jako úkol „z nejvyšších míst“. Byl to podle něj „impuls od předsedy vlády a vrchní ředitelky kabinetu“.
Kovanda	2013-10-22	7,5	Ukázalo se, že sledování řidiče a jeho přítelkyně z úřadu vlády proplatil Milan Kovanda soukromé agentuře. Dostala zhruba 120 tisíc korun. Policie jeho obvinění rozšířila o porušení povinnosti při správě cizího majetku.
Kovanda	2014-01-09	7,0	Nejvyšší státní zastupitelství zamítlo stížnost trojice obviněných z Vojenského zpravodajství, kteří kritizovali postup policie v celé kauze. Upozornila na to Česká televize.
Kovanda	2014-06-06	6,0	Ta část kauzy, která se týká Vojenského zpravodajství a sledování osob, míří k soudu. Janu Nečasovou i všechny tři zpravodajce Vrchní státní zastupitelství v Olomouci obžalovalo.
Fuksa	2013-06-12	15,0	Ivana Fuksu odvádí policie. Stejně dopadl jeho stranický kolega Petr Tluchoř. Později je ve vazbě „doplní“ také exposlanec Marek Šnajdr, který je na cestách, ale po návratu do Česka se sám přihlásí na policii.
Fuksa	2013-06-14	11,0	Vyšetřovatelé popisují, čeho se podle nich politici dopustili: Využili nabídku lukrativních postů ve státních či polostátních firmách, pokud se vzdají mandátu a podrží tak vládu. Zkrátka – podle policie přijali úplatek. Fuksa zamířil do představenstva Českého Aeroholdingu, Šnajdr do dozorčí rady Čepra a Tluchořův muž do dozorčí rady Českých drah. „Obchod“ domlouvala Jana Nagyová.
Fuksa	2013-06-15	9,5	Soud posílá Fuksu i Tluchoře do vazby.
Fuksa	2013-07-08	9,0	Žalobce Ivo Ištván požádal Sněmovnu o vydání premiéra v demisi Petra Nečase. Je mimo jiné podezřelý z podplácení tří exposlanců ODS.
Fuksa	2013-07-16	13,0	Nejvyšší soud dopoledne rozhodl, že na trojici exposlanců se vztahuje imunita, protože politické dohody v poslanecké sněmovně jsou „vyjádřením postojů v politické soutěži“. Fuksa večer opouští ostravskou věznici. „Stal jsem se pokusným králíkem nejvyššího státního zástupce Ištvana,“ prohlásil. Na svobodě je Šnajdr i Tluchoř.
Fuksa	2013-07-17	13,5	Olomoucký žalobce Ištvan stahuje ze Sněmovny žádost o vydání Petra Nečase.
Fuksa	2013-07-26	14,0	Nejvyšší státní zástupce Pavel Zeman rozhodl, že stíhání exposlanců ODS končí a případ vrátil do Olomouce.
Fuksa	2013-08-21	13,5	„Ztratil jsem důvěru v Nejvyšší soud,“ prohlásil prezident Miloš Zeman v Senátu. Uvedl to v souvislosti s rozhodnutím soudu, které vedlo ke zrušení stíhání Fuksy, Šnajdra a Tluchoře.
Fuksa	2013-08-26	13,0	Ivo Ištvan zkouší obnovit stíhání exposlanců. Argumentuje tím, že politici většinou o trafikách vyjednávali v hotelích či restauracích, tedy mimo Poslaneckou sněmovnu. A na takové schůzky by se imunita teoreticky nemusela vztahovat.
Fuksa	2013-09-26	12,5	Průzkum agentury STEM ukázal, že 81 procent oslovených lidí považuje chování exposlanců ODS za korupci.
Fuksa	2013-10-31	13,5	Nejvyšší soud definitivně rozhodl, že trojici politiků není možné stíhat za činy, jichž se jako poslanci dopustili.
Fuksa	2014-01-16	14,0	Fuksa, Šnajdr i Tluchoř chtějí od státu odškodné. Pro každého  zhruba čtyři miliony korun. Žádost podali na ministerstvo spravedlnosti.
Fuksa	2014-02-11	13,5	Podle MF DNES obvinila policie bývalého premiéra Petra Nečase za uplácení exposlanců.
Fuksa	2014-03-20	13,0	Ivan Fuksa odmítl na policii vypovídat a dostal dvacetitisícovou pokutu. Stejně se před tím zachoval i Petr Tluchoř. Dřív vystupovali jako obvinění, teď jsou v roli svědků – proti expremiérovi.
Fuksa	2014-06-12	14,0	Týdeník Respekt zjistil, že Fuksa pracuje v advokátní kanceláři svého obhájce Tomáše Gřivny. Stal se společníkem ve firmě Center for Regulatory Compliance Programs, kterou založil Gřivna se svým spolužákem a bývalým ministrem dopravy Radkem Šmerdou.
Nagyová	2013-06-12	18,0	Policisté zatkli Janu Nagyovou přímo v jejím bytě. Končí ve vazbě.
Nagyová	2013-06-14	13,0	Přišla o funkci ředitelky kabinetu premiéra a dostala neplacené volno.
Nagyová	2013-06-15	12,0	Soud nechává Nagyovou ve vazbě, bojí se, že by mohla ovlivňovat svědky.
Nagyová	2013-07-17	12,5	Dcera Jany Nagyové Nikola píše senátorovi Jiřímu Čunkovi dopis, v němž si stěžuje na zacházení se svou matkou. Kritizuje zásah policistů, chtěli ji prý „zlomit, ponížit a připravit o lidskou důstojnost“.
Nagyová	2013-07-19	12,5	Na svobodě. Nagyová opouští ostravskou vazební věznici, před branou na ni čeká expremiér.
Nagyová	2013-08-09	12,0	Nagyová oficiálně skončila na úřadu vlády. Od svého zatčení nepobírala plat ani odměny, pracovní poměr jí skončil dohodou bez nároku na odchodné.
Nagyová	2013-08-11	11,5	MF DNES upozornila, že Nečas udělal z Nagyové svou poslaneckou asistentku. Za tento krok jej kritizovali i spolustraníci.
Nagyová	2013-08-13	10,5	Úřad vlády zveřejnil platy a odměny vedoucích pracovníků. Ukázalo se, že Nagyová dostávala od Nečase zhruba trojnásobné odměny oproti svým předchůdcům. Až milion korun ročně.
Nagyová	2013-09-21	11,0	Jana Nagyová se vdala za expremiéra a stala se z ní Jana Nečasová.
Nagyová	2013-11-13	10,0	ODS Nagyovou vyloučila. Už dříve ji straníci vyzvali, aby pozastavila své členství.
Nagyová	2013-12-22	9,0	Policisté zveřejnili část záznamu ze zatýkání Nagyové, aby vyvrátili kritiku mimo jiné premiéra Nečase, že se při zásahu chovali neadekvátně.
Nagyová	2014-02-20	8,0	Jeden směr vyšetřování se týká šperků či luxusních módních doplňků, které policisté našli u Jany Nagyové při domovní prohlídce. Kriminalisté zjišťují u prodejců, zda existují na nákupy doklady. Případně kdo a proč dával exředitelce premiérova kabinetu drahé dárky.
Nagyová	2014-04-30	7,5	Olomoucké státní zastupitelství dokončuje žalobu.
Nagyová	2014-05-16	7,0	Deník MF DNES uvedl, že policisté při domovní prohlídce u Nagyové našli dokumenty k zakázkám. Existovaly různé varianty listin ke konkrétní zakázce, kde se lišila jen cena.
Nagyová	2014-06-06	4,0	Vrchní státní zastupitelství v Olomouci obžalovalo ze zneužití pravomoci úřední osoby ve formě spolupachatelství nejen Nagyovou, ale také bývalého šéfa Vojenského zpravodajství Milana Kovandu a důstojníky vojenské zpravodajské služby Ondreje Páleníka a Jana Pohůnka. Za to, že nechali nezákonně sledovat Nečasovu první manželku.
